InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Region
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315.0,United Kingdom,Europe
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031.0,United Kingdom,Europe
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031.0,United Kingdom,Europe
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198.0,United Kingdom,Europe
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502.0,United Kingdom,Europe
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572.0,United Kingdom,Europe
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362.0,United Kingdom,Europe
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818.0,United Kingdom,Europe
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759.0,United Kingdom,Europe
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415.0,Australia,
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039.0,United Kingdom,Europe
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949.0,United Kingdom,Europe
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515.0,United Kingdom,Europe
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159.0,United Kingdom,Europe
540418,22161,HEART DECORATION RUSTIC HANGING ,5,2011-01-07 11:04:00,0.81,,United Kingdom,Europe
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,2011-03-10 12:50:00,2.55,16625.0,United Kingdom,Europe
548005,21499,BLUE POLKADOT WRAP,25,2011-03-29 10:49:00,0.42,14128.0,United Kingdom,Europe
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-15 12:27:00,9.95,13092.0,United Kingdom,Europe
545715,82600,NO SINGING METAL SIGN,1,2011-03-07 10:13:00,4.13,,United Kingdom,Europe
C572489,22465,HANGING METAL STAR LANTERN,-5,2011-10-24 13:59:00,1.65,17119.0,United Kingdom,Europe
577820,23169,CLASSIC GLASS COOKIE JAR,18,2011-11-22 09:24:00,3.75,13408.0,United Kingdom,Europe
555091,21936,RED RETROSPOT PICNIC BAG,1,2011-05-31 12:50:00,2.95,12748.0,United Kingdom,Europe
556106,22669,RED BABY BUNTING ,2,2011-06-08 16:54:00,2.95,14056.0,United Kingdom,Europe
537159,22667,RECIPE BOX RETROSPOT ,1,2010-12-05 13:17:00,2.95,14527.0,United Kingdom,Europe
565841,22555,PLASTERS IN TIN STRONGMAN,1,2011-09-07 12:04:00,3.29,,United Kingdom,Europe
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433.0,Norway,
572681,23232,WRAP VINTAGE LEAF DESIGN,25,2011-10-25 13:51:00,0.42,13510.0,United Kingdom,Europe
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-03-30 12:02:00,0.85,16657.0,United Kingdom,Europe
577531,22699,ROSES REGENCY TEACUP AND SAUCER ,7,2011-11-20 13:58:00,5.79,,United Kingdom,Europe
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,2011-07-06 13:13:00,0.65,17861.0,United Kingdom,Europe
566922,23420,PANTRY HOOK TEA STRAINER ,12,2011-09-15 14:58:00,2.08,16156.0,United Kingdom,Europe
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-03-01 09:35:00,0.85,12428.0,Finland,
574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,2011-11-02 15:33:00,0.83,,United Kingdom,Europe
569026,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-30 10:18:00,2.08,16101.0,United Kingdom,Europe
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,2010-12-09 17:27:00,6.75,17841.0,United Kingdom,Europe
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,2011-10-25 15:03:00,1.65,13871.0,United Kingdom,Europe
552828,22046,TEA PARTY  WRAPPING PAPER ,25,2011-05-11 13:23:00,0.42,13662.0,United Kingdom,Europe
575922,23225,CHERUB HEART DECORATION SILVER ,24,2011-11-11 17:10:00,0.83,15681.0,United Kingdom,Europe
C546730,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,2011-03-16 11:39:00,4.95,18183.0,United Kingdom,Europe
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-07-17 14:05:00,3.25,13880.0,United Kingdom,Europe
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,2011-01-07 13:55:00,2.51,,United Kingdom,Europe
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-03-06 15:17:00,6.75,17107.0,United Kingdom,Europe
567656,51014A,"FEATHER PEN,HOT PINK",26,2011-09-21 14:40:00,0.83,14096.0,United Kingdom,Europe
575063,35970,ZINC FOLKART SLEIGH BELLS,3,2011-11-08 12:32:00,1.69,16764.0,United Kingdom,Europe
556917,22659,LUNCH BOX I LOVE LONDON,128,2011-06-15 13:37:00,1.65,12415.0,Australia,
561369,22268,DECORATION SITTING BUNNY,2,2011-07-26 16:21:00,0.63,,United Kingdom,Europe
538449,82599,FANNY'S REST STOPMETAL SIGN,2,2010-12-12 12:24:00,2.1,17085.0,United Kingdom,Europe
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-01 13:23:00,3.75,15485.0,United Kingdom,Europe
C559030,84857C,PINK MONTE CARLO HANDBAG,-1,2011-07-05 14:51:00,1.95,16571.0,United Kingdom,Europe
540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,2011-01-10 16:25:00,7.62,,United Kingdom,Europe
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,2011-08-04 15:04:00,1.65,14535.0,United Kingdom,Europe
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,2011-09-25 11:29:00,1.65,14005.0,United Kingdom,Europe
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,2011-05-20 13:14:00,0.42,13243.0,United Kingdom,Europe
562717,22784,LANTERN CREAM GAZEBO ,1,2011-08-08 15:42:00,10.79,,United Kingdom,Europe
554959,85099B,JUMBO BAG RED RETROSPOT,2,2011-05-27 15:18:00,4.13,,United Kingdom,Europe
550512,22523,CHILDS GARDEN FORK PINK,2,2011-04-18 16:31:00,0.85,18069.0,United Kingdom,Europe
