InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Region,Quantity_capped
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315,United Kingdom,Europe,24.0
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031,United Kingdom,Europe,4.0
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031,United Kingdom,Europe,4.0
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198,United Kingdom,Europe,3.0
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502,United Kingdom,Europe,2.0
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572,United Kingdom,Europe,2.0
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362,United Kingdom,Europe,12.0
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818,United Kingdom,Europe,12.0
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759,United Kingdom,Europe,1.0
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415,Australia,,2.0
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039,United Kingdom,Europe,1.0
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949,United Kingdom,Europe,18.0
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515,United Kingdom,Europe,1.0
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159,United Kingdom,Europe,12.0
540418,22161,HEART DECORATION RUSTIC HANGING ,5,2011-01-07 11:04:00,0.81,-1,United Kingdom,Europe,5.0
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,2011-03-10 12:50:00,2.55,16625,United Kingdom,Europe,6.0
548005,21499,BLUE POLKADOT WRAP,25,2011-03-29 10:49:00,0.42,14128,United Kingdom,Europe,25.0
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-15 12:27:00,9.95,13092,United Kingdom,Europe,4.0
545715,82600,NO SINGING METAL SIGN,1,2011-03-07 10:13:00,4.13,-1,United Kingdom,Europe,1.0
577820,23169,CLASSIC GLASS COOKIE JAR,18,2011-11-22 09:24:00,3.75,13408,United Kingdom,Europe,18.0
555091,21936,RED RETROSPOT PICNIC BAG,1,2011-05-31 12:50:00,2.95,12748,United Kingdom,Europe,1.0
556106,22669,RED BABY BUNTING ,2,2011-06-08 16:54:00,2.95,14056,United Kingdom,Europe,2.0
537159,22667,RECIPE BOX RETROSPOT ,1,2010-12-05 13:17:00,2.95,14527,United Kingdom,Europe,1.0
565841,22555,PLASTERS IN TIN STRONGMAN,1,2011-09-07 12:04:00,3.29,-1,United Kingdom,Europe,1.0
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433,Norway,,2.0
572681,23232,WRAP VINTAGE LEAF DESIGN,25,2011-10-25 13:51:00,0.42,13510,United Kingdom,Europe,25.0
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-03-30 12:02:00,0.85,16657,United Kingdom,Europe,1.0
577531,22699,ROSES REGENCY TEACUP AND SAUCER ,7,2011-11-20 13:58:00,5.79,-1,United Kingdom,Europe,7.0
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,2011-07-06 13:13:00,0.65,17861,United Kingdom,Europe,2.0
566922,23420,PANTRY HOOK TEA STRAINER ,12,2011-09-15 14:58:00,2.08,16156,United Kingdom,Europe,12.0
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-03-01 09:35:00,0.85,12428,Finland,,24.0
574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,2011-11-02 15:33:00,0.83,-1,United Kingdom,Europe,2.0
569026,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-30 10:18:00,2.08,16101,United Kingdom,Europe,10.0
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,2010-12-09 17:27:00,6.75,17841,United Kingdom,Europe,2.0
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,2011-10-25 15:03:00,1.65,13871,United Kingdom,Europe,12.0
552828,22046,TEA PARTY  WRAPPING PAPER ,25,2011-05-11 13:23:00,0.42,13662,United Kingdom,Europe,25.0
575922,23225,CHERUB HEART DECORATION SILVER ,24,2011-11-11 17:10:00,0.83,15681,United Kingdom,Europe,24.0
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-07-17 14:05:00,3.25,13880,United Kingdom,Europe,4.0
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,2011-01-07 13:55:00,2.51,-1,United Kingdom,Europe,1.0
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-03-06 15:17:00,6.75,17107,United Kingdom,Europe,10.0
567656,51014A,"FEATHER PEN,HOT PINK",26,2011-09-21 14:40:00,0.83,14096,United Kingdom,Europe,26.0
575063,35970,ZINC FOLKART SLEIGH BELLS,3,2011-11-08 12:32:00,1.69,16764,United Kingdom,Europe,3.0
556917,22659,LUNCH BOX I LOVE LONDON,128,2011-06-15 13:37:00,1.65,12415,Australia,,28.5
561369,22268,DECORATION SITTING BUNNY,2,2011-07-26 16:21:00,0.63,-1,United Kingdom,Europe,2.0
538449,82599,FANNY'S REST STOPMETAL SIGN,2,2010-12-12 12:24:00,2.1,17085,United Kingdom,Europe,2.0
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-01 13:23:00,3.75,15485,United Kingdom,Europe,9.0
540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,2011-01-10 16:25:00,7.62,-1,United Kingdom,Europe,1.0
